TICKER,PER,DATE,TIME,CLOSE EURORUB
EURRUB,D,09/01/10,000000,39.3230000
EURRUB,D,09/02/10,000000,39.3530000
EURRUB,D,09/03/10,000000,39.4320000
EURRUB,D,09/06/10,000000,39.4200000
EURRUB,D,09/07/10,000000,39.2040000
EURRUB,D,09/08/10,000000,39.2330000
EURRUB,D,09/09/10,000000,39.2020000
EURRUB,D,09/10/10,000000,39.1960000
EURRUB,D,09/13/10,000000,39.4520000
EURRUB,D,09/14/10,000000,39.7250000
EURRUB,D,09/15/10,000000,40.2700000
EURRUB,D,09/16/10,000000,40.8100000
EURRUB,D,09/17/10,000000,40.4120000
EURRUB,D,09/20/10,000000,40.6030000
EURRUB,D,09/21/10,000000,40.9380000
EURRUB,D,09/22/10,000000,41.5060000
EURRUB,D,09/23/10,000000,41.2940000
EURRUB,D,09/24/10,000000,41.4400000
EURRUB,D,09/27/10,000000,41.0670000
EURRUB,D,09/28/10,000000,41.2480000
EURRUB,D,09/29/10,000000,41.4240000
EURRUB,D,09/30/10,000000,41.6720000
EURRUB,D,10/01/10,000000,41.9340000
EURRUB,D,10/04/10,000000,41.6880000
EURRUB,D,10/05/10,000000,41.5390000
EURRUB,D,10/06/10,000000,41.4820000
EURRUB,D,10/07/10,000000,41.5310000
EURRUB,D,10/08/10,000000,41.7950000
EURRUB,D,10/11/10,000000,41.5150000
EURRUB,D,10/12/10,000000,41.7330000
EURRUB,D,10/13/10,000000,42.0110000
EURRUB,D,10/14/10,000000,42.2870000
EURRUB,D,10/15/10,000000,42.4040000
EURRUB,D,10/18/10,000000,42.3850000
EURRUB,D,10/19/10,000000,42.1790000
EURRUB,D,10/20/10,000000,42.8120000
EURRUB,D,10/21/10,000000,42.6750000
EURRUB,D,10/22/10,000000,42.3150000
EURRUB,D,10/25/10,000000,42.2930000
EURRUB,D,10/26/10,000000,42.2000000
EURRUB,D,10/27/10,000000,42.2780000
EURRUB,D,10/28/10,000000,42.6330000
EURRUB,D,10/29/10,000000,43.0060000
EURRUB,D,11/01/10,000000,42.7940000
EURRUB,D,11/02/10,000000,43.1580000
EURRUB,D,11/03/10,000000,43.5160000
EURRUB,D,11/04/10,000000,43.2840000
EURRUB,D,11/05/10,000000,43.0240000
EURRUB,D,11/08/10,000000,42.8740000
EURRUB,D,11/09/10,000000,42.4130000
EURRUB,D,11/10/10,000000,42.2130000
EURRUB,D,11/11/10,000000,41.8340000
EURRUB,D,11/12/10,000000,42.1240000
EURRUB,D,11/15/10,000000,42.0840000
EURRUB,D,11/16/10,000000,42.1240000
EURRUB,D,11/17/10,000000,42.3590000
EURRUB,D,11/18/10,000000,42.3060000
EURRUB,D,11/19/10,000000,42.5090000
EURRUB,D,11/22/10,000000,42.3960000
EURRUB,D,11/23/10,000000,41.9990000
EURRUB,D,11/24/10,000000,41.7740000
EURRUB,D,11/25/10,000000,41.6130000
EURRUB,D,11/26/10,000000,41.5780000
EURRUB,D,11/29/10,000000,41.1160000
EURRUB,D,11/30/10,000000,40.9240000
EURRUB,D,12/01/10,000000,41.1880000
EURRUB,D,12/02/10,000000,41.2550000
EURRUB,D,12/03/10,000000,41.8420000
EURRUB,D,12/06/10,000000,41.5220000
EURRUB,D,12/07/10,000000,41.2750000
EURRUB,D,12/08/10,000000,41.1590000
EURRUB,D,12/09/10,000000,40.9440000
EURRUB,D,12/10/10,000000,40.8810000
EURRUB,D,12/13/10,000000,41.0870000
EURRUB,D,12/14/10,000000,41.0940000
EURRUB,D,12/15/10,000000,40.6960000
EURRUB,D,12/16/10,000000,40.6660000
EURRUB,D,12/17/10,000000,40.5470000
EURRUB,D,12/20/10,000000,40.4570000
EURRUB,D,12/21/10,000000,40.3720000
EURRUB,D,12/22/10,000000,40.1150000
EURRUB,D,12/23/10,000000,40.0790000
EURRUB,D,12/24/10,000000,39.9640000
EURRUB,D,12/27/10,000000,39.9010000
EURRUB,D,12/28/10,000000,39.8100000
EURRUB,D,12/29/10,000000,40.2650000
EURRUB,D,12/30/10,000000,40.5880000
EURRUB,D,12/31/10,000000,40.8370000
EURRUB,D,01/03/11,000000,40.7120000
EURRUB,D,01/04/11,000000,40.4350000
EURRUB,D,01/05/11,000000,39.8360000
EURRUB,D,01/06/11,000000,39.3970000
EURRUB,D,01/07/11,000000,39.8590000
EURRUB,D,01/10/11,000000,39.9120000
EURRUB,D,01/11/11,000000,39.5780000
EURRUB,D,01/12/11,000000,39.5170000
EURRUB,D,01/13/11,000000,39.9810000
EURRUB,D,01/14/11,000000,40.1040000
EURRUB,D,01/17/11,000000,39.8190000
EURRUB,D,01/18/11,000000,40.0000000
EURRUB,D,01/19/11,000000,40.1830000
EURRUB,D,01/20/11,000000,40.4070000
EURRUB,D,01/21/11,000000,40.7740000
EURRUB,D,01/24/11,000000,40.6845000
EURRUB,D,01/25/11,000000,40.6490000
EURRUB,D,01/26/11,000000,40.6730000
EURRUB,D,01/27/11,000000,40.6165000
EURRUB,D,01/28/11,000000,40.5390000
EURRUB,D,01/31/11,000000,40.7758000
EURRUB,D,02/01/11,000000,40.8120000
EURRUB,D,02/02/11,000000,40.6379000
EURRUB,D,02/03/11,000000,40.1221000
EURRUB,D,02/04/11,000000,39.8870000
EURRUB,D,02/07/11,000000,39.7479000
EURRUB,D,02/08/11,000000,39.8571000
EURRUB,D,02/09/11,000000,40.1428000
EURRUB,D,02/10/11,000000,39.8950000
EURRUB,D,02/11/11,000000,39.7370000
EURRUB,D,02/14/11,000000,39.4970000
EURRUB,D,02/15/11,000000,39.5440000
EURRUB,D,02/16/11,000000,39.6210000
EURRUB,D,02/17/11,000000,39.7821000
EURRUB,D,02/18/11,000000,39.9460000
EURRUB,D,02/21/11,000000,39.8440000
EURRUB,D,02/22/11,000000,39.9813000
EURRUB,D,02/23/11,000000,40.0864000
EURRUB,D,02/24/11,000000,39.9802000
EURRUB,D,02/25/11,000000,39.7770000
EURRUB,D,02/28/11,000000,39.8317000
EURRUB,D,03/01/11,000000,39.5848000
EURRUB,D,03/02/11,000000,39.3476000
EURRUB,D,03/03/11,000000,39.3168000
EURRUB,D,03/04/11,000000,39.4120000
EURRUB,D,03/07/11,000000,39.3735000
EURRUB,D,03/08/11,000000,39.3746000
EURRUB,D,03/09/11,000000,39.4170000
EURRUB,D,03/10/11,000000,39.4570000
EURRUB,D,03/11/11,000000,39.9850000
EURRUB,D,03/14/11,000000,39.8630000
EURRUB,D,03/15/11,000000,40.1890000
EURRUB,D,03/16/11,000000,39.8570000
EURRUB,D,03/17/11,000000,40.1270000
EURRUB,D,03/18/11,000000,40.3350000
EURRUB,D,03/21/11,000000,40.1650000
EURRUB,D,03/22/11,000000,40.0660000
EURRUB,D,03/23/11,000000,39.9900000
EURRUB,D,03/24/11,000000,40.0734000
EURRUB,D,03/25/11,000000,39.9900000
EURRUB,D,03/28/11,000000,39.8849000
EURRUB,D,03/29/11,000000,39.9990000
EURRUB,D,03/30/11,000000,40.2824000
EURRUB,D,03/31/11,000000,40.2647000
EURRUB,D,04/01/11,000000,40.2110000
EURRUB,D,04/04/11,000000,40.2341000
EURRUB,D,04/05/11,000000,40.1921000
EURRUB,D,04/06/11,000000,40.3438000
EURRUB,D,04/07/11,000000,40.3181000
EURRUB,D,04/08/11,000000,40.5730000
EURRUB,D,04/11/11,000000,40.4374000
EURRUB,D,04/12/11,000000,40.6841000
EURRUB,D,04/13/11,000000,40.7152000
EURRUB,D,04/14/11,000000,40.8440000
EURRUB,D,04/15/11,000000,40.5670000
EURRUB,D,04/18/11,000000,40.4338000
EURRUB,D,04/19/11,000000,40.5613000
EURRUB,D,04/20/11,000000,40.7560000
EURRUB,D,04/21/11,000000,40.7149000
EURRUB,D,04/22/11,000000,40.7830000
EURRUB,D,04/25/11,000000,40.6408000
EURRUB,D,04/26/11,000000,40.6757000
EURRUB,D,04/27/11,000000,40.7604000
EURRUB,D,04/28/11,000000,40.7655000
EURRUB,D,04/29/11,000000,40.4770000
EURRUB,D,05/02/11,000000,40.4641000
EURRUB,D,05/03/11,000000,40.5142000
EURRUB,D,05/04/11,000000,40.5261000
EURRUB,D,05/05/11,000000,40.0419000
EURRUB,D,05/06/11,000000,39.7970000
EURRUB,D,05/09/11,000000,40.0073000
EURRUB,D,05/10/11,000000,39.8887000
EURRUB,D,05/11/11,000000,39.5502000
EURRUB,D,05/12/11,000000,39.8547000
EURRUB,D,05/13/11,000000,39.6730000
EURRUB,D,05/16/11,000000,39.8313000
EURRUB,D,05/17/11,000000,40.0342000
EURRUB,D,05/18/11,000000,39.9554000
EURRUB,D,05/19/11,000000,40.0217000
EURRUB,D,05/20/11,000000,39.8000000
EURRUB,D,05/23/11,000000,40.0160000
EURRUB,D,05/24/11,000000,39.9500000
EURRUB,D,05/25/11,000000,40.0047000
EURRUB,D,05/26/11,000000,39.8420000
EURRUB,D,05/27/11,000000,40.0310000
EURRUB,D,05/30/11,000000,40.0766000
EURRUB,D,05/31/11,000000,40.2421000
EURRUB,D,06/01/11,000000,40.1169000
EURRUB,D,06/02/11,000000,40.3604000
EURRUB,D,06/03/11,000000,40.7790000
EURRUB,D,06/06/11,000000,40.5835000
EURRUB,D,06/07/11,000000,40.6763000
EURRUB,D,06/08/11,000000,40.4518000
EURRUB,D,06/09/11,000000,40.2846000
EURRUB,D,06/10/11,000000,40.1440000
EURRUB,D,06/13/11,000000,40.3024000
EURRUB,D,06/14/11,000000,40.2256000
EURRUB,D,06/15/11,000000,39.7924000
EURRUB,D,06/16/11,000000,39.9259000
EURRUB,D,06/17/11,000000,40.0770000
EURRUB,D,06/20/11,000000,40.1586000
EURRUB,D,06/21/11,000000,40.2210000
EURRUB,D,06/22/11,000000,40.1427000
EURRUB,D,06/23/11,000000,40.3592000
EURRUB,D,06/24/11,000000,39.9540000
EURRUB,D,06/27/11,000000,40.3823000
EURRUB,D,06/28/11,000000,40.3604000
EURRUB,D,06/29/11,000000,40.4358000
EURRUB,D,06/30/11,000000,40.4774000
EURRUB,D,07/01/11,000000,40.4910000
EURRUB,D,07/04/11,000000,40.3944000
EURRUB,D,07/05/11,000000,40.2129000
EURRUB,D,07/06/11,000000,40.0642000
EURRUB,D,07/07/11,000000,40.0530000
EURRUB,D,07/08/11,000000,40.2060000
EURRUB,D,07/11/11,000000,39.6060000
EURRUB,D,07/12/11,000000,39.5320000
EURRUB,D,07/13/11,000000,39.7530000
EURRUB,D,07/14/11,000000,39.7620000
EURRUB,D,07/15/11,000000,39.7052000
EURRUB,D,07/18/11,000000,39.8275000
EURRUB,D,07/19/11,000000,39.8923000
EURRUB,D,07/20/11,000000,39.9860000
EURRUB,D,07/21/11,000000,40.0957000
EURRUB,D,07/22/11,000000,39.8180000
EURRUB,D,07/25/11,000000,39.8459000
EURRUB,D,07/26/11,000000,39.9133000
EURRUB,D,07/27/11,000000,39.5603000
EURRUB,D,07/28/11,000000,39.5260000
EURRUB,D,07/29/11,000000,39.7120000
EURRUB,D,08/01/11,000000,39.5764000
EURRUB,D,08/02/11,000000,39.4588000
EURRUB,D,08/03/11,000000,39.8811000
EURRUB,D,08/04/11,000000,39.7311000
EURRUB,D,08/05/11,000000,40.3220000
EURRUB,D,08/06/11,000000,40.3220000
EURRUB,D,08/08/11,000000,41.0848000
EURRUB,D,08/09/11,000000,42.5790000
EURRUB,D,08/10/11,000000,42.0909000
EURRUB,D,08/11/11,000000,42.3853000
EURRUB,D,08/12/11,000000,41.5784000
EURRUB,D,08/13/11,000000,41.5930000
EURRUB,D,08/14/11,000000,41.4870000
EURRUB,D,08/15/11,000000,41.3561000
EURRUB,D,08/16/11,000000,41.3181000
EURRUB,D,08/17/11,000000,41.4840000
EURRUB,D,08/18/11,000000,41.7216000
EURRUB,D,08/19/11,000000,41.8210000
EURRUB,D,08/20/11,000000,42.0270000
EURRUB,D,08/22/11,000000,41.7193000
EURRUB,D,08/23/11,000000,41.9545000
EURRUB,D,08/24/11,000000,41.7043000
EURRUB,D,08/25/11,000000,41.6881000
EURRUB,D,08/26/11,000000,41.7495000
