TICKER,PER,DATE,TIME,CLOSE USDRUB
USDRUB,D,09/01/10,000000,30.7200000
USDRUB,D,09/02/10,000000,30.7100000
USDRUB,D,09/03/10,000000,30.5800000
USDRUB,D,09/04/10,000000,30.5900000
USDRUB,D,09/05/10,000000,30.5900000
USDRUB,D,09/06/10,000000,30.6100000
USDRUB,D,09/07/10,000000,30.8900000
USDRUB,D,09/08/10,000000,30.8500000
USDRUB,D,09/09/10,000000,30.8700000
USDRUB,D,09/10/10,000000,30.8900000
USDRUB,D,09/11/10,000000,30.9400000
USDRUB,D,09/12/10,000000,30.8800000
USDRUB,D,09/13/10,000000,30.6400000
USDRUB,D,09/14/10,000000,30.5900000
USDRUB,D,09/15/10,000000,30.9500000
USDRUB,D,09/16/10,000000,31.2200000
USDRUB,D,09/17/10,000000,30.9800000
USDRUB,D,09/18/10,000000,30.9500000
USDRUB,D,09/19/10,000000,30.9700000
USDRUB,D,09/20/10,000000,31.0900000
USDRUB,D,09/21/10,000000,30.9100000
USDRUB,D,09/22/10,000000,31.0000000
USDRUB,D,09/23/10,000000,31.0200000
USDRUB,D,09/24/10,000000,30.7600000
USDRUB,D,09/25/10,000000,30.7800000
USDRUB,D,09/27/10,000000,30.5200000
USDRUB,D,09/28/10,000000,30.3800000
USDRUB,D,09/29/10,000000,30.4100000
USDRUB,D,09/30/10,000000,30.5800000
USDRUB,D,10/01/10,000000,30.4700000
USDRUB,D,10/02/10,000000,30.4100000
USDRUB,D,10/04/10,000000,30.4500000
USDRUB,D,10/05/10,000000,30.0200000
USDRUB,D,10/06/10,000000,29.7800000
USDRUB,D,10/07/10,000000,29.7900000
USDRUB,D,10/08/10,000000,29.8600000
USDRUB,D,10/09/10,000000,29.9800000
USDRUB,D,10/10/10,000000,29.7700000
USDRUB,D,10/11/10,000000,29.9200000
USDRUB,D,10/12/10,000000,29.9900000
USDRUB,D,10/13/10,000000,30.1100000
USDRUB,D,10/14/10,000000,30.0500000
USDRUB,D,10/15/10,000000,30.3000000
USDRUB,D,10/16/10,000000,30.2300000
USDRUB,D,10/18/10,000000,30.3400000
USDRUB,D,10/19/10,000000,30.7300000
USDRUB,D,10/20/10,000000,30.6800000
USDRUB,D,10/21/10,000000,30.6500000
